,0
0,LIN
1,CCL
2,CUK
3,CUKPF
4,STE
5,MMM
6,AXP
7,AAPL
8,BA
9,CAT
10,CVX
11,CSCO
12,KO
13,DD
14,XOM
15,GS-PK
16,GS
17,HD
18,IBM
19,INTC
20,JNJ
21,JPM
22,MCD
23,NKE
24,MRK
25,MSFT
26,PFE
27,PG
28,TRV
29,UNH
30,VZ
31,V
32,WMT
33,WBA
34,DIS
35,ATVI
36,ADBE
37,AKAM
38,GOOGL
39,GOOG
40,AMZN
41,AAL
42,AMGN
43,ADI
44,AMAT
45,ADSK
46,ADP
47,BIIB
48,CERN
49,CHTR
50,CTXS
51,CTSH
52,CMCSA
53,COST
54,CSX
55,XRAY
56,DISCA
57,DISCK
58,DISCB
59,DISH
60,DLTR
61,EBAY
62,EA
63,EXPE
64,FB
65,FAST
66,FISV
67,GILD
68,HSIC
69,ILMN
70,INCY
71,INTU
72,ISRG
73,KHC
74,LRCX
75,MAR
76,0P0000KQL0
77,MCHP
78,MU
79,MDLZ
80,MNST
81,NTAP
82,NFLX
83,NVDA
84,NXPI
85,ORLY
86,PCAR
87,PAYX
88,PYPL
89,QCOM
90,REGN
91,ROST
92,STX
93,SWKS
94,SBUX
95,TMUS
96,TSLA
97,TXN
98,TSCO
99,ULTA
100,VRSK
101,VRTX
102,WDC
103,XLNX
104,ABT
105,ABBV
106,ACN
107,ALL
108,MO
109,AIG
110,T
111,BAC
112,BOAPL
113,BK
114,BRK-B
115,BLK
116,BKNG
117,BMY
118,BMYMP
119,COF
120,C
121,CL
122,COP
123,CVS
124,DHR
125,DUK
126,LLY
127,EMR
128,EXC
129,FDX
130,F
131,GE
132,GM
133,HON
134,KMI
135,LOW
136,MA
137,MDT
138,MET
139,MS
140,MNSLV
141,NEE
142,OXY
143,ORCL
144,OCLCF
145,PM
146,RTX
147,SLB
148,SPG
149,SO
150,TGT
151,UNP
152,UPS
153,USB
154,WFC
155,ABMD
156,AAP
157,AMD
158,AES
159,AFL
160,A
161,APD
162,ALK
163,ALB
164,ARE
165,ALGN
166,ALLE
167,AEE
168,AEP
169,AMT
170,AWK
171,AMP
172,ABC
173,AME
174,APH
175,ANSS
176,ANTM
177,AOS
178,AON
179,APA
180,APTV
181,ADM
182,ANET
183,AJG
184,AIZ
185,ATO
186,AZO
187,AVB
188,AVY
189,BKR
190,BLL
191,BALY
192,BAX
193,BDX
194,BBY
195,BWA
196,BXP
197,BSX
198,AVGO
199,BR
200,BF-B
201,CHRW
202,CDNS
203,CPB
204,CAH
205,KMX
206,CBRE
207,CE
208,CNC
209,CNP-PB
210,CNP
211,CF
212,CMG
213,CB
214,CHD
215,CI
216,CINF
217,CTAS
218,CFG
219,CLX
220,CME
221,CMS-PB
222,CMS
223,CMA
224,CAG
225,ED
226,STZ
227,COO
228,CPRT
229,GLW
230,CCI
231,CMI
232,DRI
233,DVA
234,DE
